"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2009","2,383.34","2,371.51","2,389.79","2,364.65","3.52B","0.51%"
"09/08/2009","2,371.30","2,340.70","2,371.40","2,333.87","4.65B","1.32%"
"09/07/2009","2,340.39","2,323.16","2,342.16","2,323.16","3.79B","0.76%"
"09/04/2009","2,322.74","2,322.56","2,333.95","2,316.05","3.58B","0.02%"
"09/03/2009","2,322.25","2,286.23","2,329.28","2,284.93","5.79B","1.59%"
"09/02/2009","2,285.93","2,325.88","2,325.88","2,272.76","4.55B","-1.76%"
"09/01/2009","2,326.91","2,341.43","2,355.81","2,325.47","3.87B","-0.62%"
"08/31/2009","2,341.54","2,377.45","2,378.29","2,333.31","4.69B","-1.50%"
"08/28/2009","2,377.25","2,356.58","2,378.11","2,355.97","4.44B","0.90%"
"08/27/2009","2,356.06","2,379.67","2,379.67","2,338.69","6.06B","-1.01%"
"08/26/2009","2,380.09","2,379.80","2,387.38","2,366.28","6.74B","-0.02%"
"08/25/2009","2,380.52","2,375.67","2,382.41","2,351.86","4.68B","0.20%"
"08/24/2009","2,375.87","2,335.75","2,379.91","2,335.75","4.72B","1.80%"
"08/21/2009","2,333.90","2,328.43","2,346.84","2,313.77","3.41B","0.23%"
"08/20/2009","2,328.64","2,279.20","2,330.70","2,279.20","5.91B","2.23%"
"08/19/2009","2,277.75","2,337.19","2,351.18","2,271.21","7.57B","-2.53%"
"08/18/2009","2,336.99","2,384.80","2,384.80","2,296.96","8.14B","-2.09%"
"08/14/2009","2,386.86","2,397.62","2,411.90","2,370.09","6.12B","-0.40%"
"08/13/2009","2,396.49","2,347.98","2,408.88","2,347.98","11.01B","2.09%"
"08/12/2009","2,347.36","2,399.17","2,399.17","2,326.81","8.68B","-2.16%"
"08/11/2009","2,399.28","2,389.46","2,404.74","2,370.68","14.55B","0.41%"
"08/10/2009","2,389.56","2,349.75","2,394.32","2,349.75","15.91B","1.72%"
"08/07/2009","2,349.13","2,359.56","2,366.96","2,333.74","11.19B","-0.46%"
"08/06/2009","2,359.98","2,317.37","2,360.05","2,309.99","14.37B","1.85%"
"08/05/2009","2,317.06","2,360.51","2,362.77","2,308.63","11.37B","-1.82%"
"08/04/2009","2,360.09","2,339.00","2,382.10","2,339.00","13.00B","0.91%"
"08/03/2009","2,338.80","2,323.85","2,350.68","2,323.85","10.32B","0.67%"
"07/31/2009","2,323.24","2,298.65","2,332.76","2,298.65","13.33B","1.09%"
"07/30/2009","2,298.14","2,224.56","2,298.77","2,218.43","9.14B","3.25%"
"07/29/2009","2,225.81","2,236.90","2,241.63","2,190.41","5.28B","-0.51%"
"07/28/2009","2,237.11","2,209.52","2,240.64","2,201.19","6.90B","1.27%"
"07/27/2009","2,209.10","2,186.07","2,213.62","2,186.07","4.73B","1.07%"
"07/24/2009","2,185.65","2,161.13","2,199.22","2,161.13","3.96B","1.15%"
"07/23/2009","2,160.72","2,125.72","2,162.75","2,125.72","3.95B","1.65%"
"07/22/2009","2,125.61","2,146.86","2,156.41","2,119.51","6.89B","-0.98%"
"07/21/2009","2,146.55","2,107.07","2,157.49","2,107.07","4.10B","1.91%"
"07/17/2009","2,106.35","2,117.12","2,126.51","2,060.62","4.35B","-0.55%"
"07/16/2009","2,117.95","2,123.79","2,154.88","2,112.93","5.14B","-0.25%"
"07/15/2009","2,123.28","2,056.99","2,123.46","2,056.99","4.93B","3.24%"
"07/14/2009","2,056.58","2,020.64","2,059.84","2,020.64","3.94B","1.80%"
"07/13/2009","2,020.14","2,062.68","2,063.95","1,992.38","3.75B","-2.08%"
"07/10/2009","2,063.09","2,084.81","2,090.58","2,058.32","4.13B","-1.00%"
"07/09/2009","2,083.97","2,083.45","2,116.86","2,060.48","7.11B","0.03%"
"07/07/2009","2,083.25","2,034.88","2,083.25","2,034.88","4.89B","2.37%"
"07/06/2009","2,035.01","2,074.88","2,074.88","2,023.97","2.90B","-1.94%"
"07/03/2009","2,075.30","2,065.55","2,078.05","2,039.08","3.02B","0.46%"
"07/02/2009","2,065.75","2,060.09","2,085.45","2,056.76","4.62B","0.28%"
"07/01/2009","2,059.88","2,026.88","2,059.89","2,023.85","3.86B","1.63%"
"06/30/2009","2,026.78","2,034.98","2,060.72","2,020.69","3.82B","-0.34%"
"06/29/2009","2,033.72","2,040.46","2,049.85","2,021.36","2.74B","-0.32%"
"06/26/2009","2,040.19","2,044.38","2,066.32","2,026.74","3.75B","-0.19%"
"06/25/2009","2,044.17","1,996.09","2,045.67","1,996.09","7.59B","2.43%"
"06/24/2009","1,995.67","1,913.96","1,995.67","1,913.96","7.08B","4.25%"
"06/23/2009","1,914.38","1,973.99","1,973.99","1,888.82","6.86B","-3.07%"
"06/22/2009","1,975.03","1,990.68","2,011.70","1,965.39","8.41B","-0.78%"
"06/19/2009","1,990.47","1,951.83","1,993.24","1,922.86","7.39B","2.02%"
"06/18/2009","1,950.99","2,024.65","2,025.12","1,940.32","8.36B","-3.65%"
"06/17/2009","2,024.96","2,029.95","2,034.32","2,009.43","5.82B","-0.27%"
"06/16/2009","2,030.37","2,069.46","2,069.46","1,995.57","7.63B","-1.91%"
